sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	base	200	1536.093875	53723136	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	C	200	1476.993583	51740672	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	base	200	1407.366793	53870592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	C	200	1449.498334	51789824	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	base	200	1413.627125	53903360	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	C	200	1449.198125	51806208	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	base	200	1479.161625	53936128	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	C	200	1494.118083	53264384	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	base	200	1401.150625	53952512	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	C	200	1520.552457	53313536	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	base	200	1484.075916	53985280	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	C	200	1463.961958	53329920	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	base	200	1464.377499	54001664	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	C	200	1540.222624	53329920	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
