sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1968.161458	129466368	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	3241.734709	83738624	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	C	200	1406.308917	51609600	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	A	200	2035.324000	122159104	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	B	200	3360.610042	81379328	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	C	200	1420.873167	51757056	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	A	200	2015.857750	138379264	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	B	200	3343.309835	81379328	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	C	200	1475.156916	51937280	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	A	200	2144.275125	140312576	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	B	200	3377.750625	81575936	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	C	200	1422.597624	51953664	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	A	200	1974.774040	141393920	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	B	200	3260.926167	81592320	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
15	C	200	1445.272792	51986432	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
16	A	200	1987.595250	141426688	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
17	B	200	3278.773375	81608704	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
18	C	200	1435.841207	52002816	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
19	A	200	1967.500333	141443072	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
20	B	200	3301.940709	81723392	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
21	C	200	1448.618709	52002816	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
22	A	200	1973.289459	141443072	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
23	B	200	3264.086084	81723392	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
24	C	200	1419.946166	52002816	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
25	A	200	1973.642668	141459456	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
26	B	200	3297.208166	81739776	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
27	C	200	1411.668959	52002816	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
28	A	200	1962.193125	128761856	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
29	B	200	3278.986959	81788928	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
30	C	200	1411.155083	52002816	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
