sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1512.807417	51707904	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1391.168582	49758208	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1465.371292	51724288	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1389.872666	49807360	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1431.561708	51757056	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1446.343708	49856512	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	A	200	1521.604708	51789824	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	B	200	1410.900417	49889280	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	A	200	1434.957875	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	B	200	1439.177416	49905664	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	A	200	1444.677375	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	B	200	1580.885375	49922048	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	A	200	1441.404416	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	B	200	1401.318792	49938432	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
15	A	200	1441.355792	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
16	B	200	1403.109708	50053120	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
17	A	200	1464.369167	51822592	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
18	B	200	1398.801583	50069504	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
19	A	200	1434.842041	51855360	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
20	B	200	1399.103832	50069504	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
