sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1349.319416	49283072	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	975.856958	49790976	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1257.522542	50544640	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	977.584583	49807360	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1223.954209	50610176	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	939.757875	49856512	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	A	200	1272.320500	50626560	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	B	200	967.991333	49938432	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	A	200	1233.469750	50692096	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	B	200	945.153584	49987584	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	A	200	1203.491583	50724864	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	B	200	979.549750	50020352	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	A	200	1226.775791	50741248	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	B	200	987.272500	50020352	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
