lane	sample	status	post_ms	max_rss_bytes	canonical_sha256	proof	reason	explored_states	decision_mode	route_is_null	suggestion_kind	suggestion_block_id
A_baseline_6fa	1	200	1191.39925	49840128	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	2	200	1198.2546250000005	49922048	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	3	200	1192.6733330000002	49987584	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	4	200	1196.4247090000003	50003968	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	5	200	1204.3747499999995	50036736	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	6	200	1207.5001249999993	50069504	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
A_baseline_6fa	7	200	1194.1796670000003	50200576	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	1	200	1239.2450000000003	49856512	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	2	200	1241.7859999999994	49938432	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	3	200	1221.8246669999999	50003968	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	4	200	1239.9731250000023	50020352	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	5	200	1220.5535840000011	50200576	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	6	200	1244.6360839999998	50200576	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
B_final_gate_off_immediate_off	7	200	1241.501540999998	50249728	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	1	200	1271.109375	47235072	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	2	200	1235.817625000001	47316992	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	3	200	1241.068875	47366144	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	4	200	1256.3180000000002	47382528	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	5	200	1252.3495419999974	47415296	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	6	200	1248.3648340000002	47415296	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
C_final_gate_on_immediate_off	7	200	1245.4535	48152576	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2	unproven	search_budget_exhausted	50000	None	True	None	None
