sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	baseline	200	1232.033250	49922048	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	candidate	200	1282.459833	46284800	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	baseline	200	1225.599250	49971200	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	candidate	200	1264.367375	46465024	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	baseline	200	1226.575167	50036736	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	candidate	200	1261.656959	46530560	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	baseline	200	1242.870167	50069504	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	candidate	200	1267.086083	46546944	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	baseline	200	1245.401333	50085888	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	candidate	200	1260.485583	46612480	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	baseline	200	1227.651500	50233344	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	candidate	200	1275.236750	46645248	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	baseline	200	1230.318959	50249728	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	candidate	200	1270.546042	46710784	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
